# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.573876900   17.573877490   17.573884180
   26.573146293    0.523589781    0.523589234    0.523587368
   26.633266533    0.525243092    0.525242740    0.525241538
   26.693386774    0.527169946    0.527169471    0.527168926
   26.753507014    0.530233485    0.530232741    0.530232653
   26.813627255    0.533722969    0.533722603    0.533722542
   26.873747495    0.533310092    0.533310772    0.533310492
   26.933867735    0.532790311    0.532791640    0.532791646
   26.993987976    0.535208588    0.535209965    0.535210434
   27.054108216    0.534653777    0.534654043    0.534654556
   27.114228457    0.531838746    0.531836889    0.531836320
   27.174348697    0.532665634    0.532663155    0.532661797
   27.234468938    0.535820785    0.535818419    0.535816973
   27.294589178    0.539962536    0.539960306    0.539959132
   27.354709419    0.544159227    0.544157080    0.544156256
   27.414829659    0.548115771    0.548113650    0.548113164
   27.474949900    0.551779065    0.551777000    0.551776796
   27.535070140    0.554880433    0.554878807    0.554878651
   27.595190381    0.557436130    0.557435392    0.557435013
   27.655310621    0.560400849    0.560400454    0.560400112
   27.715430862    0.563402020    0.563401475    0.563401271
   27.775551102    0.565860430    0.565859406    0.565859236
   27.835671343    0.568618080    0.568616705    0.568616727
   27.895791583    0.571831740    0.571830182    0.571830507
   27.955911824    0.575018893    0.575017184    0.575017855
   28.016032064    0.578199405    0.578197515    0.578198629
   28.076152305    0.580621570    0.580619366    0.580621161
   28.136272545    0.581709035    0.581706517    0.581709298
   28.196392786    0.583542253    0.583539289    0.583543480
   28.256513026    0.585784650    0.585780702    0.585786638
   28.316633267    0.587337334    0.587332166    0.587337535
   28.376753507    0.586293940    0.586290530    0.586290993
   28.436873747    0.584120308    0.584121769    0.584115668
   28.496993988    0.584138071    0.584140108    0.584133199
   28.557114228    0.585665718    0.585666653    0.585661237
   28.617234469    0.588191361    0.588192557    0.588187687
   28.677354709    0.590959227    0.590961174    0.590956319
   28.737474950    0.593871882    0.593873594    0.593869220
   28.797595190    0.596336836    0.596337922    0.596334193
   28.857715431    0.598683343    0.598684178    0.598680726
   28.917835671    0.600330215    0.600331295    0.600327739
   28.977955912    0.601391148    0.601392348    0.601388922
   29.038076152    0.603332748    0.603333869    0.603330711
   29.098196393    0.605349816    0.605350929    0.605348294
   29.158316633    0.606864259    0.606865557    0.606863788
   29.218436874    0.609120831    0.609122134    0.609120801
   29.278557114    0.610887339    0.610888444    0.610887135
   29.338677355    0.611960578    0.611961220    0.611959845
   29.398797595    0.614184071    0.614184403    0.614183124
   29.458917836    0.617049484    0.617049678    0.617048581
   29.519038076    0.620056168    0.620056253    0.620055374
   29.579158317    0.623084786    0.623084791    0.623084107
   29.639278557    0.625716286    0.625716438    0.625715645
   29.699398798    0.626621687    0.626622530    0.626620878
   29.759519038    0.625376482    0.625378114    0.625375593
   29.819639279    0.623418835    0.623420177    0.623417722
   29.879759519    0.623066172    0.623066775    0.623064485
   29.939879760    0.624707170    0.624707486    0.624705388
   30.000000000    0.627280294    0.627280551    0.627278608
