# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    8.777555110    1.300741684    1.300737228    1.300740748
    8.837675351    1.407285577    1.407280134    1.407285654
    8.897795591    1.506672481    1.506665642    1.506673289
    8.957915832    1.480210508    1.480205313    1.480211710
    9.018036072    1.406853439    1.406851007    1.406854428
    9.078156313    1.262497948    1.262496447    1.262498594
    9.138276553    1.220275948    1.220274408    1.220276324
    9.198396794    1.185774699    1.185772869    1.185774446
    9.258517034    1.103315469    1.103313550    1.103314763
    9.318637275    1.052875679    1.052873799    1.052874760
    9.378757515    1.232420901    1.232418653    1.232419478
    9.438877756    1.471945588    1.471942950    1.471943656
    9.498997996    1.282023593    1.282021209    1.282021921
    9.559118236    1.026964932    1.026962443    1.026963382
    9.619238477    1.027649226    1.027645725    1.027647172
    9.679358717    1.249099011    1.249093819    1.249095976
    9.739478958    1.456702645    1.456697170    1.456699515
    9.799599198    1.589074362    1.589069764    1.589072197
    9.859719439    1.401354568    1.401351789    1.401353615
    9.919839679    1.155304404    1.155303552    1.155304300
    9.979959920    1.082974698    1.082975402    1.082975088
   10.040080160    1.174262768    1.174264798    1.174263570
   10.100200401    1.256598408    1.256600187    1.256599204
   10.160320641    1.347357629    1.347358081    1.347357955
   10.220440882    1.365969993    1.365969027    1.365970212
   10.280561122    1.361706647    1.361704501    1.361707183
   10.340681363    1.144430095    1.144428332    1.144430649
   10.400801603    0.895158133    0.895157354    0.895158573
   10.460921844    0.720092682    0.720092525    0.720093057
   10.521042084    0.640273047    0.640273276    0.640273237
   10.581162325    0.669822067    0.669822960    0.669822006
   10.641282565    0.799250237    0.799252208    0.799249790
   10.701402806    0.994155364    0.994158576    0.994154437
   10.761523046    1.048436886    1.048440040    1.048436315
   10.821643287    0.983403398    0.983405644    0.983403851
   10.881763527    0.880419917    0.880422027    0.880421320
   10.941883768    0.758657424    0.758659621    0.758659482
   11.002004008    0.683696822    0.683698642    0.683698948
   11.062124248    0.617962112    0.617963057    0.617963508
   11.122244489    0.554962026    0.554962839    0.554963154
   11.182364729    0.545496883    0.545498004    0.545498120
   11.242484970    0.574965880    0.574967246    0.574967271
   11.302605210    0.649378080    0.649379762    0.649379790
   11.362725451    0.611852227    0.611853975    0.611853845
   11.422845691    0.536649232    0.536651086    0.536650574
   11.482965932    0.490046159    0.490048300    0.490047296
   11.543086172    0.386000672    0.386002382    0.386001510
   11.603206413    0.296261733    0.296262849    0.296262431
   11.663326653    0.255471828    0.255472705    0.255472587
   11.723446894    0.248615800    0.248616607    0.248616683
   11.783567134    0.267301087    0.267301614    0.267301854
   11.843687375    0.314035224    0.314035389    0.314035894
   11.903807615    0.367547875    0.367547670    0.367548550
   11.963927856    0.451395529    0.451394862    0.451396037
   12.024048096    0.593963501    0.593962087    0.593963849
